freqs,Z_re_median,Z_im_median,Z_exp_real,Z_exp_imag,Z_re_percentile_0dot1,Z_re_percentile_0dot9,Z_im_percentile_0dot1,Z_im_percentile_0dot9
11500.0,2.7894625345607915,-0.02023601006809842,2.8,-0.015,2.7873117259853872,2.7915415802459584,-0.02280134573908418,-0.01778445540744329
13500.0,2.7859923673242477,-0.019085394258673574,2.79,-0.012,2.783848120320596,2.78806379071237,-0.02189358251916624,-0.01635825826801914
15700.0,2.782765952398296,-0.01746559556139119,2.79,-0.0122,2.7806301425683113,2.7848484182202,-0.020523983720145172,-0.0144687215249152
18300.0,2.779678127387545,-0.015281288788884982,2.79,-0.0121,2.777462283986158,2.7818053259219435,-0.01862083801024274,-0.012027961012200893
21400.0,2.776809490021402,-0.012558839103983472,2.79,-0.01,2.774496289240507,2.77904214356204,-0.016280425060055986,-0.008961601427678507
24900.0,2.774374795816488,-0.009505615480837726,2.79,-0.00971,2.7719693746262957,2.7767293146860332,-0.013700522623719192,-0.005551057901261562
29100.0,2.772261728629771,-0.006006269556814026,2.78,-0.00713,2.769714086833589,2.774745638767929,-0.010758201508450853,-0.0015076437042815696
34000.0,2.770531246877523,-0.002209220054242033,2.78,-0.00773,2.7678615696834945,2.7730893361773212,-0.0076531903962708345,0.003020708347119295
39600.0,2.769168740526303,0.0017761185051322842,2.78,-0.00337,2.7663857673845196,2.7718118580241553,-0.004477427014567656,0.007867034074750824
46200.0,2.7680807111618373,0.006097505549374249,2.77,0.00249,2.765214318088718,2.770819783793099,-0.0011906597863255161,0.01317592863239166
54000.0,2.767235625335765,0.01078129533742566,2.76,0.00392,2.7643028299335652,2.770035502067397,0.0022956410158631773,0.01909849828221647
63000.0,2.7665990874389426,0.01576539947068576,2.76,0.009309999999999999,2.763619029280215,2.7694538320718927,0.005880682030835857,0.02550801507759981
73500.0,2.766119581697457,0.02120390129382355,2.75,0.0149,2.7630933880583126,2.769009347513886,0.00965651995715639,0.03259126973194784
85700.0,2.7657589574458195,0.02717469184064441,2.74,0.0282,2.762697373052566,2.768679096968321,0.0137594173641185,0.040482800106764305
100000.0,2.7654860492081634,0.033849027942616135,2.73,0.0453,2.7623989524039874,2.768432328333207,0.018217879421385454,0.04941281889449824
