tau_vec,gamma_GP_unc,gamma_median_constr,lower_bound_constr,upper_bound_constr
0.0007943282347242822,0.1408477276214694,0.14086060479134116,0.1289218688719938,0.15286125893361607
0.001,0.15341273178844905,0.15329402749014143,0.14140464699002497,0.16564005771704143
0.0012589254117941675,0.16418366503270126,0.16394887987926318,0.15196760012040725,0.17612123903379695
0.001584893192461114,0.1742469195782399,0.17381724830181133,0.16183739645474196,0.18573014002603727
0.0019952623149688807,0.18535400853962508,0.18499265382193392,0.1733163145647768,0.19681209891497725
0.002511886431509582,0.19941874554049877,0.1993017552189364,0.18748310012913344,0.21145052262854508
0.0031622776601683794,0.21791161335734707,0.21824774407592706,0.20623932256486235,0.2301657465076332
0.003981071705534973,0.24132273284398087,0.24206196672173816,0.22990556750481467,0.25420943540847585
0.005011872336272725,0.26885206397327366,0.2697738001409537,0.25780204578633675,0.2817222364922487
0.006309573444801936,0.2984247087000653,0.29916182526318524,0.28719875451052285,0.31105520785731805
0.00794328234724282,0.32703776478257146,0.32727949408968815,0.3148472818783189,0.33886268519539603
0.01,0.3513505976994935,0.35081136197080487,0.3392008970434488,0.3627790920967839
0.012589254117941687,0.3683617935392092,0.3670427682022147,0.35517009899049656,0.3788862266556244
0.01584893192461114,0.3759946323888535,0.3743820417800797,0.3623987720605352,0.38603522869694606
0.01995262314968879,0.3734446959046955,0.37207703377261836,0.3600814977697391,0.383562630175188
0.025118864315095822,0.3612169253550618,0.36069369891036196,0.3491132404156234,0.3725930546970108
0.03162277660168379,0.3408705528839612,0.3417519006115414,0.33026481901379584,0.35294568001801313
0.039810717055349776,0.31456976054487573,0.31671470827451814,0.30504177820733447,0.3280026024558942
0.05011872336272725,0.2845820572509511,0.28739829668911027,0.2759949958741255,0.2987477295200807
0.06309573444801943,0.2528645490926495,0.2553270982581444,0.2442927511460132,0.2666214033152519
0.07943282347242822,0.2208352410937219,0.2218631213179274,0.21083328932341516,0.23314951963965017
0.1,0.18935931075907858,0.18826195233059329,0.17736471950921806,0.19910614157301412
0.12589254117941687,0.15891159075992894,0.15570270730793745,0.14488927338318616,0.16680665240624135
0.15848931924611143,0.12982695015840356,0.12524795070449612,0.11502142630071777,0.13585355103790334
0.19952623149688828,0.10253269542579893,0.09820197860345775,0.08817315400334406,0.10874320051533123
0.25118864315095824,0.0776738329554144,0.0753168445252054,0.06557321119345667,0.0851421746745281
0.31622776601683794,0.05608539787594195,0.0569580264181284,0.0477500637244454,0.06658151101865808
0.39810717055349776,0.038621461333046614,0.04296405494408906,0.0339580924148391,0.05232967859410977
0.5011872336272725,0.025900687539458827,0.03284856032893051,0.023741948221748327,0.04150223497442381
0.6309573444801942,0.018058330450837958,0.02556561214294114,0.016716997513882687,0.03307986537521484
0.7943282347242822,0.014595442085137526,0.02002832457109254,0.012195020232023268,0.026695708394694425
1.0,0.0143876819943784,0.01559114029882983,0.00815186354164566,0.021510949633957752
1.2589254117941688,0.01586732994527383,0.01170237364043416,0.004887635944125695,0.017442988324002564
1.584893192461114,0.01733825533081913,0.00838657586079984,0.0023120248688195937,0.0141060847538369
1.9952623149688828,0.01734176014368159,0.005589799464378683,0.0008927487366588616,0.011345433215066592
2.5118864315095824,0.01497460266593699,0.0035447011477088416,0.00022777252148695296,0.008973703096355446
3.1622776601683795,0.010074032156331963,0.002259743634001289,0.00010112801709139869,0.0071986738517059974
3.9810717055349776,0.0032233213347747586,0.0016951596942706483,4.787518359862148e-05,0.006102285293190284
5.011872336272725,-0.004417895889239345,0.0015163182870011815,4.972150311158217e-05,0.005743774139997509
6.309573444801943,-0.011407399779674934,0.0014984886869719612,4.7552611615907044e-05,0.005578452104620825
7.943282347242821,-0.016358257027926874,0.0015637205585680644,5.709631162691863e-05,0.005816542535122486
10.0,-0.01823664014209867,0.0016182927843320406,6.221807557613405e-05,0.005748722002856794
12.589254117941687,-0.016554619092447317,0.0017026261438225655,6.686211201174681e-05,0.006175481945342477
15.848931924611142,-0.011426978868659605,0.0018789624623163238,6.003375052064341e-05,0.0069355209781351386
19.95262314968883,-0.0034982662231068467,0.0021757781109154484,7.853121550310666e-05,0.008352519138469445
25.11886431509582,0.006224231115668224,0.0026459636344647367,0.00011020378820352884,0.009827504265923638
31.622776601683793,0.01658062859957595,0.003230500507137032,0.00013121951158515523,0.01180750701562179
39.81071705534978,0.026461006783597567,0.003972949505340495,0.0001567862214540604,0.014150905942561446
50.11872336272725,0.034962005033270196,0.004689025910208342,0.00020304713111859497,0.016674748548132473
63.09573444801943,0.04147751314882594,0.005669058511001666,0.00026151746470811163,0.01994515130770684
79.43282347242821,0.04572197860911269,0.006927005144883338,0.0003530425213866357,0.024197070141147775
100.0,0.04769878876658671,0.008508234077201412,0.0004392938450708127,0.029754642732870668
125.89254117941663,0.047633549727984004,0.010381107935570188,0.00044978230404099607,0.036562130077068204
158.48931924611173,0.04589308908122703,0.012660729366199299,0.0005531604149125814,0.044508934380950986
199.5262314968883,0.042907399504321715,0.015480960675442933,0.0007837442731569105,0.05408322949225756
251.18864315095823,0.03910581738356592,0.01850989993020636,0.0008240539588363699,0.06455699958503754
316.22776601683796,0.03487256795793075,0.02203733191427527,0.0010679713205037624,0.07525781010294065
398.1071705534969,0.030521801836142334,0.025888260355790334,0.0013473112026437981,0.08815335416940881
501.18723362727354,0.026289015693660236,0.02986906283587058,0.0016371724273611789,0.1020750792685003
630.9573444801943,0.022334279100004562,0.03469109153932455,0.0020905464573789984,0.11851187845259994
794.3282347242822,0.01875258636862706,0.0401066859625404,0.002340507472427263,0.13887143931296228
1000.0,0.01558739011959125,0.045740099623677075,0.0025484802460417682,0.15553311230626687
1258.9254117941662,0.012844467851152452,0.05074763355332576,0.003389781044614682,0.17235466994889925
1584.8931924611175,0.01050437312809276,0.05681638632712406,0.0034653845166802396,0.18993875321279294
1995.262314968883,0.008532629526279754,0.06307039749198945,0.0034932587443856325,0.20657124486421896
2511.886431509582,0.006887465353259826,0.0683636635644807,0.0044739943930727395,0.22158458272109757
3162.2776601683795,0.005525271888401061,0.07414912458921777,0.00465021649208294,0.23256372807296222
3981.0717055349855,0.004404152052102028,0.07806330663697345,0.004825872426538444,0.2407631722130673
5011.872336272735,0.0034859764852436348,0.08030855982557106,0.005290589352809336,0.24519967297533388
6309.573444801943,0.0027373391978841206,0.07948947799022221,0.0058894087314171695,0.25100871837475164
7943.282347242822,0.0021297484229229864,0.0766972950161996,0.00581197630858006,0.2529354567818353
10000.0,0.0016393258674481156,0.07306881704160284,0.0017118367702081646,0.2554034914797435
